max_length,train_size,test_size,accuracy,f1_macro,f1_binary,recall_class1,delta_f1_binary_vs_512,delta_recall1_vs_512
64,2537,715,0.6951048951048951,0.6938923802042419,0.7131578947368421,0.7344173441734417,-0.03229665071770338,-0.04336043360433606
128,2537,715,0.7230769230769231,0.7216607946144893,0.741514360313316,0.7696476964769647,-0.003940185141229513,-0.008130081300813052
256,2537,715,0.7272727272727273,0.7257081814408165,0.7464239271781534,0.7777777777777778,0.0009693817236079427,0.0
512,2537,715,0.7258741258741259,0.7242424242424242,0.7454545454545455,0.7777777777777778,0.0,0.0
