variant,dreaddit_train_total,train_size,test_size,accuracy,f1_macro,f1_binary,recall_class1,delta_f1_binary_vs_default,delta_recall1_vs_default
default,2819,2537,715,0.7258741258741259,0.7242424242424242,0.7454545454545455,0.7777777777777778,0.0,0.0
no_stopword_removal,2819,2537,715,0.7258741258741259,0.7242424242424242,0.7454545454545455,0.7777777777777778,0.0,0.0
no_lemmatization,2819,2537,715,0.7258741258741259,0.7242424242424242,0.7454545454545455,0.7777777777777778,0.0,0.0
no_repeat_char_collapse,2819,2537,715,0.7258741258741259,0.7242424242424242,0.7454545454545455,0.7777777777777778,0.0,0.0
near_dedup_093,2818,2536,715,0.7272727272727273,0.7260380294780526,0.744429882044561,0.7696476964769647,-0.0010246634099845275,-0.008130081300813052
near_dedup_095,2818,2536,715,0.7272727272727273,0.7260380294780526,0.744429882044561,0.7696476964769647,-0.0010246634099845275,-0.008130081300813052
near_dedup_090,2817,2535,715,0.7188811188811188,0.7173863026305698,0.7379400260756193,0.7669376693766937,-0.007514519378926221,-0.01084010840108407
