experiment,accuracy,precision,recall,f1
baseline (TF-IDF + LR),0.7258741258741259,0.7016317016317016,0.8157181571815718,0.7543859649122807
baseline (TF-IDF + SVM),0.737062937062937,0.7291139240506329,0.7804878048780488,0.7539267015706806
baseline (SciBERT-MLP (no graph)),0.7328671328671329,0.678,0.9186991869918699,0.7802071346375143
baseline (Homo-GCN),0.7244755244755244,0.6894273127753304,0.8482384823848238,0.7606318347509113
baseline (Homo-GAT),0.7356643356643356,0.7045454545454546,0.8401084010840109,0.7663782447466008
proposed — in_domain (HGNN),0.7594405594405594,0.7468671679197995,0.8075880758807588,0.7760416666666666
proposed — ablation (no_skip_connection),0.6727272727272727,0.6310679611650486,0.8807588075880759,0.7352941176470589
proposed — ablation (with_domain_adv),0.7468531468531469,0.7385786802030457,0.7886178861788617,0.762778505897772
